"EventTerm","DefaultActionTerms"
"ALL","deploy;recover;service;other;startSample;stopSample; maxDepth;abort;startLine;endLine;abortLine;start;end;faultGPS;faultGyro;startCruise;endCruise;startTransect;endTransect;startStation;endStation;startSafetydrill;endSafetydrill;maxextensionWire;maxspeedWire;release"
"ADCP75","start;stop;service;other"
"ADCP150","start;stop;service;other"
"ADCP300","start;stop;service;other"
"biologyPump","startSample;stopSample"
"CTD911","deploy;maxDepth;recover;abort;other"
"Echosounder12","startLine;endLine;abortLine"
"Echosounder3.5","startLine;endLine;abortLine"
"Fluorometer","startLine;endLine;abortLine;sampleLine"
"GreeneBomber","deploy;recover;abort;other"
"Hammerhead","deploy;recover;abort;other"
"Handline","start;end;other"
"mastCamera","start;end;other"
"MeterologicalSensor","startLine;endLine;abortLine;sampleLine"
"MOCNESS1","deploy;maxDepth;recover;abort;other"
"MOCNESS10","deploy;maxDepth;recover;abort;other"
"Mooring","deploy;service;recover;startLine;endLine;abortLine;other"
"Navigation","faultGPS;faultGyro"
"ObserverBirds","start;end;other"
"ObserverMammals","start;end;other"
"Other","start;end"
"REMUS","start;end;other"
"Ship","startCruise;endCruise;other"
"Thermosalinograph SBE45","startLine;endLine;abortLine;sampleLine"
"VPR","deploy;maxDepth;recover;abort;other"
"Winch","maxtensionWire;maxspeedWire"
"XBT","release"
"EM302","start;stop;other"
